WorkOrderID,ReceivedDate,CompletedDate,ClientID,ServiceLine,Department,EmployeeID,Priority,ProductionCount,BillableHours,QualityScore,ReworkFlag,SLATargetHours,AHTMinutes,TATHours,SLAMet,CompletionMonth
WO000337,2025-01-08 05:58:50,2025-01-08 19:10:50,C006,Document Retrieval,Operations South,E024,Standard,6,1.00,93.4,No,24,10.01,13.20,Met,2025-01
WO001675,2025-01-09 06:05:40,2025-01-10 01:29:04,C001,Direct Bill Posting,Operations Central,E020,Standard,6,0.62,91.6,No,48,6.18,19.39,Met,2025-01
WO000148,2025-01-08 14:22:30,2025-01-10 01:43:30,C012,Policy Checking,Operations Central,E021,Standard,1,0.64,91.3,No,72,38.36,35.35,Met,2025-01
WO001696,2025-01-09 12:04:17,2025-01-10 10:59:29,C003,Policy Administration,Operations Central,E029,Standard,4,1.67,93.5,No,72,25.12,22.92,Met,2025-01
WO000073,2025-01-10 03:51:21,2025-01-10 11:20:45,C015,Certificate Issuance,Operations South,E034,Rush,3,0.82,94.0,No,24,16.33,7.49,Met,2025-01
WO001111,2025-01-09 03:17:24,2025-01-10 15:27:00,C009,Policy Administration,Operations South,E034,Standard,5,1.94,96.4,No,72,23.24,36.16,Met,2025-01
WO001558,2025-01-06 01:36:14,2025-01-11 02:26:38,C002,Policy Administration,Operations North,E034,Standard,1,0.42,99.5,No,72,25.25,120.84,Not Met,2025-01
WO000358,2025-01-10 20:38:08,2025-01-11 05:56:44,C005,Document Retrieval,Operations Central,E030,Rush,1,0.26,95.8,No,12,15.39,9.31,Met,2025-01
WO000370,2025-01-09 03:12:13,2025-01-11 11:48:49,C013,Policy Checking,Operations South,E014,Standard,3,1.73,97.2,No,72,34.57,56.61,Met,2025-01
WO000760,2025-01-11 02:45:45,2025-01-12 02:01:57,C011,Policy Checking,Operations South,E020,Standard,4,2.39,98.2,No,72,35.79,23.27,Met,2025-01
WO001574,2025-01-10 23:17:44,2025-01-12 06:25:32,C013,Policy Checking,Operations North,E021,Rush,1,0.70,96.9,No,36,41.82,31.13,Met,2025-01
WO000065,2025-01-08 21:10:53,2025-01-12 11:28:53,C001,Policy Checking,Operations North,E031,Standard,1,0.65,91.8,No,72,38.77,86.30,Not Met,2025-01
WO000749,2025-01-11 00:27:57,2025-01-12 13:09:57,C003,Document Retrieval,Operations South,E001,Standard,8,1.65,92.1,No,24,12.36,36.70,Not Met,2025-01
WO001061,2025-01-11 03:16:10,2025-01-12 20:26:22,C012,Certificate Issuance,Operations Central,E006,Standard,3,1.01,94.3,No,48,20.10,41.17,Met,2025-01
WO001250,2025-01-11 11:54:05,2025-01-12 23:22:17,C011,Certificate Issuance,Operations Central,E035,Standard,6,1.90,94.3,No,48,19.04,35.47,Met,2025-01
WO000687,2025-01-11 08:57:19,2025-01-13 01:03:55,C003,Policy Checking,Operations South,E035,Standard,3,1.76,90.1,Yes,72,35.10,40.11,Met,2025-01
WO000679,2025-01-12 17:22:58,2025-01-13 01:12:10,C007,Document Retrieval,Operations North,E034,Standard,9,1.59,96.5,No,24,10.58,7.82,Met,2025-01
WO000994,2025-01-12 12:31:40,2025-01-13 03:15:28,C008,Policy Checking,Operations Central,E019,Rush,4,2.84,91.6,No,36,42.61,14.73,Met,2025-01
WO000650,2025-01-10 05:09:56,2025-01-13 10:30:56,C001,Certificate Issuance,Operations North,E034,Standard,5,1.14,99.7,No,48,13.67,77.35,Not Met,2025-01
WO001591,2025-01-11 15:40:25,2025-01-13 11:34:25,C001,Certificate Issuance,Operations South,E020,Standard,6,1.59,92.4,No,48,15.91,43.90,Met,2025-01
WO000494,2025-01-13 10:43:20,2025-01-14 14:31:20,C012,Direct Bill Posting,Operations South,E029,Standard,18,2.06,96.0,No,48,6.85,27.80,Met,2025-01
WO000850,2025-01-13 06:35:55,2025-01-15 01:52:07,C005,Policy Administration,Operations North,E002,Standard,3,1.16,94.8,No,72,23.21,43.27,Met,2025-01
WO000426,2025-01-14 10:06:45,2025-01-15 13:26:33,C008,Direct Bill Posting,Operations South,E022,Standard,18,1.96,98.6,No,48,6.54,27.33,Met,2025-01
WO000836,2025-01-14 18:41:23,2025-01-16 07:57:35,C007,Policy Administration,Operations North,E025,Standard,3,1.42,91.7,No,72,28.41,37.27,Met,2025-01
WO001399,2025-01-13 07:58:25,2025-01-16 13:32:01,C011,Policy Administration,Operations North,E017,Standard,1,0.31,90.5,Yes,72,18.86,77.56,Not Met,2025-01
WO000738,2025-01-16 06:00:14,2025-01-17 08:26:38,C006,Direct Bill Posting,Operations North,E023,Standard,9,1.03,91.7,No,48,6.86,26.44,Met,2025-01
WO001144,2025-01-16 17:54:56,2025-01-18 03:08:44,C007,Policy Checking,Operations South,E013,Rush,3,2.09,97.5,No,36,41.73,33.23,Met,2025-01
WO001788,2025-01-17 00:38:59,2025-01-18 14:04:11,C009,Policy Administration,Operations South,E033,Standard,2,0.56,96.0,No,72,16.83,37.42,Met,2025-01
WO001010,2025-01-17 22:23:47,2025-01-18 16:11:11,C014,Certificate Issuance,Operations North,E008,Standard,6,1.74,91.5,No,48,17.37,17.79,Met,2025-01
WO000492,2025-01-17 05:04:53,2025-01-19 12:11:29,C013,Policy Administration,Operations North,E035,Rush,3,1.08,99.1,No,36,21.56,55.11,Not Met,2025-01
WO001604,2025-01-19 06:42:55,2025-01-20 00:51:19,C011,Document Retrieval,Operations North,E023,Standard,10,2.29,93.5,No,24,13.74,18.14,Met,2025-01
WO000577,2025-01-17 16:10:22,2025-01-20 01:04:22,C008,Policy Administration,Operations North,E031,Standard,1,0.38,90.1,Yes,72,23.02,56.90,Met,2025-01
WO000511,2025-01-19 19:27:28,2025-01-20 07:07:04,C014,Document Retrieval,Operations South,E010,Standard,2,0.39,100.0,No,24,11.60,11.66,Met,2025-01
WO000096,2025-01-19 20:30:13,2025-01-20 17:38:37,C014,Direct Bill Posting,Operations North,E004,Standard,19,3.05,94.5,No,48,9.63,21.14,Met,2025-01
WO000569,2025-01-20 09:25:11,2025-01-21 00:47:23,C003,Document Retrieval,Operations South,E020,Standard,5,1.27,92.3,No,24,15.28,15.37,Met,2025-01
WO001246,2025-01-20 17:12:28,2025-01-21 00:48:28,C010,Document Retrieval,Operations South,E001,Standard,1,0.15,90.1,Yes,24,9.15,7.60,Met,2025-01
WO001401,2025-01-19 21:26:36,2025-01-21 02:32:00,C011,Direct Bill Posting,Operations South,E031,Standard,5,0.48,99.7,No,48,5.77,29.09,Met,2025-01
WO001518,2025-01-20 11:42:39,2025-01-21 02:56:27,C004,Document Retrieval,Operations South,E028,Standard,4,0.96,95.3,No,24,14.37,15.23,Met,2025-01
WO000395,2025-01-19 21:38:37,2025-01-21 08:18:49,C003,Certificate Issuance,Operations North,E010,Standard,1,0.38,93.2,No,48,22.86,34.67,Met,2025-01
WO000258,2025-01-19 20:04:05,2025-01-21 08:37:05,C011,Direct Bill Posting,Operations South,E036,Standard,10,1.59,94.2,No,48,9.56,36.55,Met,2025-01
WO001695,2025-01-19 05:16:20,2025-01-21 13:19:20,C015,Policy Administration,Operations North,E015,Standard,2,0.83,96.4,No,72,24.81,56.05,Met,2025-01
WO000282,2025-01-20 15:05:50,2025-01-21 14:25:02,C008,Policy Checking,Operations South,E008,Rush,1,0.77,93.5,No,36,46.45,23.32,Met,2025-01
WO000632,2025-01-17 07:38:47,2025-01-22 01:02:11,C005,Policy Administration,Operations North,E018,Standard,3,1.10,100.0,No,72,22.02,113.39,Not Met,2025-01
WO000521,2025-01-20 19:16:38,2025-01-22 15:34:38,C001,Policy Checking,Operations South,E026,Standard,1,0.74,93.9,No,72,44.16,44.30,Met,2025-01
WO000716,2025-01-22 15:05:42,2025-01-23 12:53:42,C015,Policy Administration,Operations South,E034,Rush,5,2.58,95.9,No,36,30.92,21.80,Met,2025-01
WO001445,2025-01-23 07:30:33,2025-01-24 09:28:09,C003,Direct Bill Posting,Operations North,E010,Standard,10,1.03,90.9,Yes,48,6.16,25.96,Met,2025-01
WO000855,2025-01-22 03:06:54,2025-01-24 12:00:18,C002,Policy Checking,Operations North,E029,Standard,1,0.69,99.1,No,72,41.69,56.89,Met,2025-01
WO000547,2025-01-24 07:41:53,2025-01-24 19:45:29,C006,Direct Bill Posting,Operations North,E001,Rush,10,1.64,95.8,No,24,9.84,12.06,Met,2025-01
WO000274,2025-01-24 09:01:18,2025-01-24 23:57:06,C005,Document Retrieval,Operations Central,E008,Standard,9,1.69,92.3,No,24,11.27,14.93,Met,2025-01
WO000618,2025-01-23 09:42:00,2025-01-25 00:51:36,C008,Policy Checking,Operations North,E036,Standard,4,2.13,90.6,Yes,72,31.99,39.16,Met,2025-01
WO000805,2025-01-23 21:52:47,2025-01-25 02:27:35,C001,Policy Administration,Operations North,E024,Rush,4,1.21,91.4,Yes,36,18.16,28.58,Met,2025-01
WO000790,2025-01-23 08:45:49,2025-01-25 07:27:49,C008,Policy Administration,Operations Central,E025,Standard,1,0.46,93.3,Yes,72,27.39,46.70,Met,2025-01
WO001433,2025-01-22 16:05:52,2025-01-25 21:34:40,C014,Direct Bill Posting,Operations North,E006,Standard,6,0.67,92.4,No,48,6.72,77.48,Not Met,2025-01
WO001024,2025-01-23 10:10:25,2025-01-25 23:34:25,C005,Policy Administration,Operations Central,E019,Standard,5,2.15,95.8,No,72,25.83,61.40,Met,2025-01
WO001548,2025-01-24 20:57:33,2025-01-26 01:44:57,C006,Certificate Issuance,Operations Central,E031,Standard,5,1.42,94.0,No,48,17.00,28.79,Met,2025-01
WO001299,2025-01-26 03:59:40,2025-01-27 10:27:16,C015,Certificate Issuance,Operations Central,E034,Standard,5,1.09,99.7,No,48,13.11,30.46,Met,2025-01
WO000286,2025-01-26 17:20:14,2025-01-27 12:01:38,C015,Direct Bill Posting,Operations North,E018,Rush,16,2.71,90.2,Yes,24,10.17,18.69,Met,2025-01
WO001756,2025-01-24 11:53:41,2025-01-27 19:08:05,C012,Direct Bill Posting,Operations Central,E020,Standard,17,1.71,95.0,Yes,48,6.02,79.24,Not Met,2025-01
WO000432,2025-01-26 12:25:59,2025-01-27 20:21:47,C007,Policy Checking,Operations North,E004,Standard,2,0.96,94.7,No,72,28.89,31.93,Met,2025-01
WO001297,2025-01-27 11:47:35,2025-01-28 09:06:47,C009,Certificate Issuance,Operations Central,E031,Rush,2,0.53,97.5,No,24,16.02,21.32,Met,2025-01
WO000056,2025-01-28 16:13:15,2025-01-29 22:10:51,C003,Certificate Issuance,Operations North,E012,Standard,5,1.39,93.6,No,48,16.67,29.96,Met,2025-01
WO001689,2025-01-26 10:14:00,2025-01-30 04:38:00,C015,Policy Checking,Operations North,E023,Standard,2,1.27,97.5,No,72,38.04,90.40,Not Met,2025-01
WO001048,2025-01-28 09:12:32,2025-01-30 18:23:56,C004,Policy Administration,Operations South,E017,Standard,4,1.14,96.3,No,72,17.11,57.19,Met,2025-01
WO000269,2025-01-30 13:00:22,2025-01-31 01:01:34,C006,Document Retrieval,Operations North,E029,Standard,7,1.40,95.7,No,24,12.00,12.02,Met,2025-01
WO000390,2025-01-29 11:15:27,2025-01-31 01:23:15,C010,Policy Administration,Operations South,E017,Standard,5,1.89,97.9,No,72,22.69,38.13,Met,2025-01
WO001625,2025-01-28 21:53:12,2025-01-31 01:34:00,C010,Policy Administration,Operations South,E024,Rush,1,0.43,99.3,No,36,26.03,51.68,Not Met,2025-01
WO000331,2025-01-26 21:56:44,2025-01-31 06:27:56,C013,Policy Administration,Operations North,E017,Standard,5,1.49,99.1,No,72,17.85,104.52,Not Met,2025-01
WO001281,2025-01-30 17:10:48,2025-01-31 08:27:00,C003,Certificate Issuance,Operations South,E003,Standard,4,1.09,96.7,No,48,16.35,15.27,Met,2025-01
WO000655,2025-01-31 09:58:17,2025-02-01 07:12:05,C012,Certificate Issuance,Operations Central,E008,Standard,2,0.55,94.1,Yes,48,16.50,21.23,Met,2025-02
WO001276,2025-01-31 13:22:25,2025-02-01 07:33:13,C001,Document Retrieval,Operations Central,E020,Standard,4,0.71,95.0,No,24,10.71,18.18,Met,2025-02
WO000032,2025-01-31 09:32:53,2025-02-01 07:50:53,C005,Certificate Issuance,Operations Central,E004,Rush,1,0.42,95.6,No,24,25.31,22.30,Met,2025-02
WO000626,2025-01-31 17:23:59,2025-02-01 15:27:35,C009,Direct Bill Posting,Operations North,E008,Rush,11,1.95,97.8,No,24,10.66,22.06,Met,2025-02
WO001036,2025-01-29 14:15:50,2025-02-01 20:11:02,C003,Policy Administration,Operations North,E032,Standard,3,1.24,98.6,No,72,24.83,77.92,Not Met,2025-02
WO000182,2025-01-29 06:45:59,2025-02-01 22:43:35,C004,Policy Checking,Operations North,E027,Standard,2,1.54,94.3,No,72,46.30,87.96,Not Met,2025-02
WO001697,2025-01-30 08:49:05,2025-02-02 00:41:53,C006,Direct Bill Posting,Operations Central,E032,Standard,19,3.21,97.3,No,48,10.13,63.88,Not Met,2025-02
WO000081,2025-02-01 07:43:47,2025-02-02 02:31:47,C004,Document Retrieval,Operations North,E005,Standard,2,0.38,98.6,No,24,11.43,18.80,Met,2025-02
WO000013,2025-02-01 13:28:06,2025-02-02 08:37:06,C005,Direct Bill Posting,Operations Central,E032,Standard,9,0.99,99.3,No,48,6.57,19.15,Met,2025-02
WO001398,2025-01-31 18:05:51,2025-02-02 11:16:03,C004,Policy Administration,Operations North,E029,Standard,3,1.06,97.1,No,72,21.25,41.17,Met,2025-02
WO000165,2025-01-31 19:49:28,2025-02-02 16:20:40,C001,Policy Administration,Operations North,E027,Standard,5,1.91,92.1,No,72,22.86,44.52,Met,2025-02
WO001424,2025-02-02 08:24:00,2025-02-03 23:25:12,C005,Document Retrieval,Operations North,E021,Standard,4,0.77,93.5,No,24,11.52,39.02,Not Met,2025-02
WO000248,2025-02-02 11:17:54,2025-02-04 08:39:30,C013,Policy Administration,Operations North,E004,Standard,5,2.32,92.6,No,72,27.80,45.36,Met,2025-02
WO001789,2025-02-04 01:36:43,2025-02-04 12:00:07,C004,Document Retrieval,Operations North,E025,Rush,1,0.28,95.0,No,12,16.70,10.39,Met,2025-02
WO000226,2025-02-02 19:21:28,2025-02-04 13:24:28,C007,Direct Bill Posting,Operations Central,E026,Standard,20,3.52,90.0,Yes,48,10.57,42.05,Met,2025-02
WO001472,2025-02-01 00:16:02,2025-02-04 13:53:14,C007,Certificate Issuance,Operations Central,E026,Standard,1,0.29,97.7,No,48,17.15,85.62,Not Met,2025-02
WO000406,2025-02-04 01:06:17,2025-02-04 17:18:17,C003,Direct Bill Posting,Operations North,E025,Standard,12,1.35,95.5,No,48,6.73,16.20,Met,2025-02
WO001550,2025-02-04 13:06:26,2025-02-04 20:42:26,C009,Document Retrieval,Operations South,E008,Rush,4,0.62,90.8,Yes,12,9.23,7.60,Met,2025-02
WO001626,2025-02-03 07:40:35,2025-02-05 02:23:47,C013,Policy Checking,Operations Central,E029,Standard,3,1.78,98.5,No,72,35.56,42.72,Met,2025-02
WO000230,2025-02-04 06:28:53,2025-02-05 04:18:41,C011,Document Retrieval,Operations South,E026,Standard,8,1.69,90.2,Yes,24,12.66,21.83,Met,2025-02
WO000908,2025-02-04 21:22:06,2025-02-05 05:35:18,C010,Document Retrieval,Operations Central,E006,Standard,5,0.80,97.4,No,24,9.66,8.22,Met,2025-02
WO001663,2025-02-02 11:17:48,2025-02-05 07:27:24,C012,Policy Checking,Operations Central,E013,Standard,2,1.30,97.2,No,72,38.87,68.16,Met,2025-02
WO001382,2025-02-02 14:38:12,2025-02-05 20:32:48,C002,Policy Administration,Operations Central,E024,Standard,2,0.57,92.8,No,72,17.08,77.91,Not Met,2025-02
WO001520,2025-02-04 04:28:27,2025-02-05 21:38:39,C015,Policy Checking,Operations Central,E017,Standard,4,2.39,98.4,No,72,35.91,41.17,Met,2025-02
WO000522,2025-02-05 13:09:52,2025-02-06 01:27:52,C015,Document Retrieval,Operations South,E004,Standard,1,0.21,96.5,No,24,12.60,12.30,Met,2025-02
WO000253,2025-02-05 15:42:59,2025-02-06 17:54:59,C012,Policy Checking,Operations North,E032,Standard,3,1.37,92.9,No,72,27.42,26.20,Met,2025-02
WO000573,2025-02-06 15:27:25,2025-02-07 05:28:01,C013,Policy Administration,Operations South,E026,Rush,4,1.72,92.7,No,36,25.79,14.01,Met,2025-02
WO001062,2025-02-06 14:24:57,2025-02-07 07:08:09,C004,Document Retrieval,Operations South,E007,Standard,4,0.96,95.0,No,24,14.44,16.72,Met,2025-02
WO000198,2025-02-05 18:11:19,2025-02-07 11:32:19,C003,Direct Bill Posting,Operations Central,E032,Standard,20,2.53,99.0,No,48,7.59,41.35,Met,2025-02
WO000546,2025-02-04 21:13:47,2025-02-07 15:58:11,C004,Policy Checking,Operations North,E029,Standard,4,2.40,92.9,No,72,35.94,66.74,Met,2025-02
WO001168,2025-02-06 12:23:37,2025-02-07 17:18:49,C012,Certificate Issuance,Operations Central,E008,Standard,6,1.81,96.3,No,48,18.14,28.92,Met,2025-02
WO000528,2025-02-05 13:46:29,2025-02-07 22:58:29,C011,Certificate Issuance,Operations Central,E035,Standard,2,0.62,97.4,No,48,18.47,57.20,Not Met,2025-02
WO001327,2025-02-07 19:05:13,2025-02-08 04:52:01,C014,Document Retrieval,Operations North,E020,Standard,4,0.90,92.5,No,24,13.44,9.78,Met,2025-02
WO001105,2025-02-07 04:48:31,2025-02-08 19:00:31,C011,Direct Bill Posting,Operations North,E002,Standard,5,0.86,97.4,No,48,10.29,38.20,Met,2025-02
WO000298,2025-02-07 05:20:55,2025-02-08 22:01:07,C013,Document Retrieval,Operations South,E019,Standard,5,1.33,98.3,No,24,15.98,40.67,Not Met,2025-02
WO001439,2025-02-08 05:06:37,2025-02-09 01:06:37,C007,Document Retrieval,Operations North,E011,Standard,1,0.26,90.5,Yes,24,15.85,20.00,Met,2025-02
WO000843,2025-02-07 19:38:20,2025-02-09 02:16:08,C002,Policy Checking,Operations North,E032,Standard,1,0.73,95.4,No,72,43.84,30.63,Met,2025-02
WO001481,2025-02-07 02:44:08,2025-02-09 14:33:56,C001,Certificate Issuance,Operations Central,E017,Standard,4,1.35,99.2,No,48,20.21,59.83,Not Met,2025-02
WO000210,2025-02-06 20:04:47,2025-02-09 19:05:59,C012,Direct Bill Posting,Operations North,E012,Standard,14,1.39,98.5,No,48,5.97,71.02,Not Met,2025-02
WO001337,2025-02-07 16:06:18,2025-02-10 02:21:54,C015,Policy Checking,Operations North,E026,Standard,1,0.48,98.8,No,72,28.95,58.26,Met,2025-02
WO001593,2025-02-06 23:38:01,2025-02-10 05:19:25,C004,Direct Bill Posting,Operations North,E028,Standard,20,3.27,92.0,No,48,9.81,77.69,Not Met,2025-02
WO001282,2025-02-08 18:55:44,2025-02-10 14:32:56,C001,Policy Checking,Operations Central,E035,Standard,1,0.44,94.9,No,72,26.11,43.62,Met,2025-02
WO000379,2025-02-10 01:26:55,2025-02-10 18:21:31,C002,Direct Bill Posting,Operations Central,E010,Rush,5,0.55,93.1,No,24,6.65,16.91,Met,2025-02
WO001035,2025-02-09 07:54:02,2025-02-10 20:34:50,C013,Direct Bill Posting,Operations South,E013,Standard,14,2.15,92.2,No,48,9.23,36.68,Met,2025-02
WO000288,2025-02-09 03:33:41,2025-02-11 09:56:29,C007,Policy Checking,Operations Central,E001,Standard,3,1.76,97.7,Yes,72,35.21,54.38,Met,2025-02
WO000006,2025-02-10 09:37:25,2025-02-11 15:19:25,C004,Direct Bill Posting,Operations North,E019,Standard,14,2.25,90.3,Yes,48,9.66,29.70,Met,2025-02
WO001629,2025-02-07 20:56:25,2025-02-11 19:51:01,C003,Policy Administration,Operations South,E022,Standard,1,0.41,96.7,No,72,24.52,94.91,Not Met,2025-02
WO000830,2025-02-10 15:26:19,2025-02-11 22:13:43,C011,Policy Administration,Operations Central,E013,Rush,4,1.93,96.7,No,36,29.00,30.79,Met,2025-02
WO000916,2025-02-10 18:37:39,2025-02-12 07:44:15,C010,Policy Administration,Operations South,E023,Standard,1,0.49,96.2,No,72,29.37,37.11,Met,2025-02
WO000816,2025-02-09 16:16:56,2025-02-12 10:22:56,C006,Policy Checking,Operations South,E008,Standard,4,2.73,92.0,No,72,41.02,66.10,Met,2025-02
WO000383,2025-02-12 02:51:33,2025-02-13 00:02:57,C004,Certificate Issuance,Operations South,E012,Standard,3,0.75,99.4,No,48,14.92,21.19,Met,2025-02
WO000152,2025-02-11 23:27:41,2025-02-13 06:44:29,C002,Direct Bill Posting,Operations Central,E036,Standard,11,1.19,99.0,No,48,6.50,31.28,Met,2025-02
WO001278,2025-02-13 05:04:44,2025-02-13 14:55:08,C012,Document Retrieval,Operations South,E016,Standard,6,1.01,97.3,No,24,10.06,9.84,Met,2025-02
WO001505,2025-02-12 18:15:22,2025-02-13 21:37:34,C008,Certificate Issuance,Operations South,E013,Standard,3,0.74,97.4,No,48,14.77,27.37,Met,2025-02
WO000740,2025-02-11 21:11:14,2025-02-14 14:14:50,C003,Policy Administration,Operations North,E011,Standard,1,0.40,94.6,No,72,24.01,65.06,Met,2025-02
WO000064,2025-02-14 12:29:12,2025-02-15 01:31:36,C009,Certificate Issuance,Operations South,E033,Rush,4,1.68,91.7,No,24,25.20,13.04,Met,2025-02
WO001483,2025-02-13 23:08:18,2025-02-15 03:16:42,C013,Policy Administration,Operations North,E017,Standard,2,0.96,91.3,No,72,28.80,28.14,Met,2025-02
WO000995,2025-02-14 10:20:02,2025-02-15 09:28:26,C001,Policy Checking,Operations Central,E033,Standard,1,0.48,96.5,No,72,28.70,23.14,Met,2025-02
WO000841,2025-02-13 00:34:34,2025-02-15 14:05:46,C015,Policy Administration,Operations Central,E028,Standard,4,1.53,91.6,No,72,22.92,61.52,Met,2025-02
WO000118,2025-02-14 16:50:59,2025-02-15 14:45:35,C009,Document Retrieval,Operations South,E010,Standard,7,1.42,93.8,No,24,12.14,21.91,Met,2025-02
WO000767,2025-02-13 00:59:56,2025-02-15 15:13:08,C005,Policy Checking,Operations Central,E030,Standard,2,0.99,97.1,No,72,29.80,62.22,Met,2025-02
WO001371,2025-02-16 01:14:10,2025-02-16 10:36:22,C004,Document Retrieval,Operations South,E001,Rush,8,1.79,97.4,No,12,13.42,9.37,Met,2025-02
WO000509,2025-02-15 23:05:34,2025-02-16 11:07:58,C014,Document Retrieval,Operations South,E034,Standard,5,1.32,99.3,No,24,15.79,12.04,Met,2025-02
WO001681,2025-02-15 00:33:36,2025-02-16 11:25:12,C014,Policy Checking,Operations North,E024,Standard,4,2.31,99.9,No,72,34.72,34.86,Met,2025-02
WO000706,2025-02-15 06:46:37,2025-02-16 21:17:49,C008,Policy Checking,Operations South,E010,Standard,2,1.55,99.1,No,72,46.51,38.52,Met,2025-02
WO001143,2025-02-15 17:26:15,2025-02-17 13:52:03,C010,Direct Bill Posting,Operations South,E026,Standard,12,1.82,96.6,No,48,9.11,44.43,Met,2025-02
WO001627,2025-02-16 00:07:35,2025-02-17 15:27:23,C012,Direct Bill Posting,Operations South,E034,Standard,11,1.41,95.3,No,48,7.70,39.33,Met,2025-02
WO001555,2025-02-16 01:20:22,2025-02-17 16:28:10,C014,Certificate Issuance,Operations South,E010,Standard,3,0.85,92.0,No,48,17.05,39.13,Met,2025-02
WO001717,2025-02-15 19:19:51,2025-02-17 21:27:39,C015,Policy Administration,Operations Central,E021,Standard,5,2.44,90.9,Yes,72,29.30,50.13,Met,2025-02
WO000345,2025-02-16 21:48:10,2025-02-18 03:39:46,C008,Policy Checking,Operations Central,E036,Standard,2,1.14,97.6,No,72,34.25,29.86,Met,2025-02
WO000066,2025-02-17 22:01:24,2025-02-18 11:49:24,C014,Document Retrieval,Operations South,E032,Standard,5,1.02,94.9,No,24,12.19,13.80,Met,2025-02
WO000459,2025-02-17 22:43:47,2025-02-18 11:58:47,C005,Document Retrieval,Operations North,E004,Standard,6,1.39,98.5,No,24,13.89,13.25,Met,2025-02
WO000708,2025-02-16 22:16:32,2025-02-18 15:27:56,C005,Policy Administration,Operations North,E010,Rush,1,0.44,96.5,No,36,26.55,41.19,Not Met,2025-02
WO000689,2025-02-18 10:40:24,2025-02-19 01:53:00,C015,Direct Bill Posting,Operations Central,E019,Standard,12,1.23,99.4,No,48,6.16,15.21,Met,2025-02
WO000414,2025-02-18 13:55:18,2025-02-19 09:42:42,C015,Document Retrieval,Operations North,E022,Standard,3,0.45,96.0,No,24,9.08,19.79,Met,2025-02
WO001578,2025-02-17 22:14:58,2025-02-19 10:10:46,C010,Document Retrieval,Operations Central,E013,Standard,9,1.38,91.2,No,24,9.19,35.93,Not Met,2025-02
WO000283,2025-02-17 08:45:54,2025-02-19 12:29:06,C006,Certificate Issuance,Operations South,E009,Standard,3,1.15,98.1,No,48,22.96,51.72,Not Met,2025-02
WO000120,2025-02-19 14:16:43,2025-02-19 20:08:19,C005,Document Retrieval,Operations North,E004,Rush,1,0.19,99.1,No,12,11.65,5.86,Met,2025-02
WO001572,2025-02-19 17:19:36,2025-02-19 23:02:12,C006,Document Retrieval,Operations South,E023,Rush,7,1.72,95.6,No,12,14.71,5.71,Met,2025-02
WO001009,2025-02-18 22:37:15,2025-02-20 00:13:51,C012,Document Retrieval,Operations Central,E030,Standard,7,1.61,94.6,No,24,13.77,25.61,Not Met,2025-02
WO000373,2025-02-19 08:59:40,2025-02-20 00:21:16,C012,Document Retrieval,Operations Central,E021,Rush,1,0.18,93.1,No,12,10.96,15.36,Not Met,2025-02
WO000392,2025-02-20 01:13:21,2025-02-20 23:02:33,C002,Direct Bill Posting,Operations South,E029,Standard,10,1.46,91.7,No,48,8.74,21.82,Met,2025-02
